B,G,A,C,D,E
43.79883751031212,62.108243886967436,32.697811100430926,23.857500278348297,33.37486254383675,8.478606267883796
38.8234015197365,85.13321334904839,22.80958091591453,19.67588716582677,34.11906709274693,14.002794424396491
47.98268943822138,36.731710791934795,33.95733906309836,12.477916840071554,15.06269027694287,6.752500998093098
40.364862178843545,36.67172793138498,17.215234666364303,12.742503938275535,14.406697914229031,9.951386560914967
46.669418155640955,55.47264934180063,29.99438844751779,14.354264265098847,22.31256607364324,3.5633104394387534
45.429072034637436,79.86113485016892,24.065698396718176,9.007979717896074,32.91955816639353,5.196040164625604
39.042734276939456,66.74882058832034,27.274039103430454,15.637296646337008,29.749406914639778,7.109210089695693
46.9078317574194,68.3479384275589,36.85613582897838,21.828783607929896,35.387901360199685,9.937590944447308
37.81082529595192,66.8664208332678,24.68441313090972,13.0613408815585,35.84660626868251,8.977258029436822
47.67990210007026,43.83176939175273,27.800506605677143,16.30327031558606,23.570815515610374,11.189295664613672
44.62901017817645,46.71337320643926,20.868829704939632,13.798886430480795,14.778810823539139,1.1968712691422692
50.20162977521365,33.53554622314193,27.548062138966074,14.362991115992454,14.653197071161568,8.82764473864217
39.187735952513684,33.87068794297434,23.730494992818993,10.47019842986962,13.274141033501841,1.5969098103478725
52.31157558821693,65.80751008195743,31.602539919160577,30.31831456341314,32.183901657102126,17.319471040407993
54.74033599480871,58.303018615397036,21.67387474129418,11.093976691093914,24.548405233966996,5.2265482694717935
53.662895558248955,46.29729481153897,30.733885090063296,16.619010980442106,25.783847461166538,10.164154625530067
58.15080286598615,58.00997331007075,30.713173791770423,18.520718086714453,32.449750386158115,10.866296476606996
57.15701123328417,57.76447339551389,29.17954780016317,21.83882983510484,24.158420447652457,10.066521376566298
63.43384222778504,42.24548465037391,40.12465476014657,22.238313771362453,33.20730191134484,12.876295514959342
56.683614380506796,41.37506976174088,26.97114200180723,19.36771370472919,13.10855340623927,13.273223123164504
45.8015573276717,50.36288067323148,21.439659943093883,11.469633939128208,27.527055534436627,-0.3456656345051652
52.895262657578876,37.92389164100468,23.475096570904924,9.424002509862923,19.84721830524201,3.634485673650892
61.729193354341675,49.00548701745442,41.063931927383955,9.721733713904635,25.157463925994033,7.048060636322404
55.959355512334355,39.16002151750595,25.820954680835598,19.52133151998888,13.765675549479607,11.673009276415463
62.347568272519084,78.4598441257219,27.845971931246197,24.40186483290478,26.71612766804946,11.726089486815905
65.31020231285311,73.78557746115068,32.98458420095874,13.978454016056311,27.089876775174215,3.8035439670522098
62.07964893998656,61.069008025823955,34.59368729495151,23.288703973333632,31.298020861171842,11.916593358166075
56.169055365701176,67.52826416850351,16.62318329260289,21.443745799842837,34.89419420620208,4.68887764171374
57.55792015841944,80.63721595930488,37.74683381689921,20.054508211718918,32.314783252806954,9.068333848085135
62.44651839369966,81.07732218675548,38.157105147116496,17.825069232521212,40.18153176206405,8.996345959317246
63.899982607739304,27.090169556734203,32.07940405700913,8.76503237308709,18.143012512154332,0.6490395276426177
67.0823318972312,59.26927496349359,30.868572945953314,23.15941547812995,34.9067789995928,15.494248403685411
62.76894874681281,31.483603465859062,32.34541509005601,33.73376939746602,15.276952922493221,15.317830107160052
68.52553855318921,90.4963512732111,37.247645949661305,28.192863434114194,37.957434340068176,15.597749907621262
